sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level,total_party_time,guild_join_count,average_party_time,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,181435885.0,0.0,4473.38161690377,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489.0,77894680.0,2712.0,0.0,499.0,0.0,0.0,11.0,83.0,194.0,72.0,86.0,25.0,24.0,1.0,216416.0,-31.818904332396865,25.0,36.0,47052.0,1.0,2767.764705882353,
270.0,389149580.0,31149.0,0.0,4686.0,0.0,0.0,47.0,30.0,376.0,51.0,62.0,259.0,259.0,1.0,637926.0,124.8494652984829,259.0,0.0,8862.0,0.0,1477.0,0.0
66.0,7602992.0,31446.0,0.0,281.0,0.0,0.0,5.0,14.0,57.0,18.0,6.0,13.0,12.0,1.0,451598.0,0.5378079619484586,13.0,22.0,0.0,0.0,0.0,
153.0,80119427.0,61579.0,0.0,1596.0,0.0,0.0,32.0,75.0,343.0,75.0,5893.0,38.0,37.0,1.0,401885.0,43.50996180499397,38.0,42.0,69458.0,0.0,3655.684210526316,0.0
552.0,322403224.0,29319.0,0.0,2415.0,0.0,8.0,214.0,111.0,776.0,241.0,131.0,222.0,221.0,1.0,424827.0,82.62171660464142,222.0,0.0,37560.0,0.0,4173.333333333333,
740.0,529054949.0,96343.0,0.0,5754.0,0.0,0.0,572.0,101.0,1023.0,432.0,717.0,461.0,458.0,1.0,648635.0,-52.25292807202818,461.0,0.0,58515.0,0.0,3657.1875,
378.0,142485377.0,24686.0,0.0,1318.0,0.0,0.0,35.0,53.0,337.0,69.0,97.0,43.0,42.0,1.0,240334.0,-6.613812444348282,43.0,38.0,43619.0,0.0,2295.736842105264,0.0
207.0,1377552887.0,109795.0,0.0,7979.0,0.0,0.0,0.0,12.0,44.0,10.0,0.0,25.0,24.0,1.0,1205493.0,0.0885305845824073,25.0,0.0,0.0,0.0,0.0,0.0
406.0,189000014.0,4839.0,0.0,2571.0,0.0,0.0,11.0,38.0,256.0,44.0,55.0,49.0,48.0,1.0,187301.0,57.57229272668059,49.0,44.0,31662.0,1.0,5277.0,
1385.0,30190361.0,14565.0,0.0,938.0,0.0,0.0,6.0,14.0,52.0,20.0,6.0,19.0,18.0,1.0,173932.0,6.579496584872249,19.0,29.0,0.0,0.0,0.0,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,174.0,0.0,1.0,0.0,0.0,0.0,0.0,
320.0,395099069.0,98368.0,0.0,3551.0,0.0,1.0,311.0,109.0,568.0,261.0,80.0,110.0,109.0,1.0,457433.0,-32.87487785096397,110.0,0.0,40934.0,0.0,2558.375,0.0
85.0,3969282.0,4075.0,0.0,440.0,0.0,0.0,0.0,22.0,81.0,19.0,102.0,7.0,7.0,1.0,77093.0,0.1264706263863126,7.0,19.0,4294.0,0.0,858.8,
4907.0,1569662439.0,90800.0,0.0,42101.0,0.0,0.0,0.0,12.0,70.0,9.0,0.0,161.0,160.0,1.0,1222761.0,6.296686760536196,161.0,0.0,0.0,0.0,0.0,
181.0,576450536.0,15139.0,0.0,2652.0,0.0,9.0,77.0,81.0,642.0,130.0,284.0,48.0,46.0,1.0,382517.0,5.80970780383617,48.0,47.0,12831.0,1.0,1069.25,
14.0,18351775.0,223.0,0.0,190.0,0.0,0.0,0.0,2.0,16.0,2.0,4.0,9.0,9.0,1.0,14596.0,164.20896135927651,9.0,0.0,0.0,0.0,0.0,0.0
249.0,36652226.0,27050.0,0.0,1092.0,0.0,0.0,4.0,40.0,178.0,38.0,419.0,50.0,48.0,1.0,218017.0,-3.2369218914121376,50.0,31.0,12992.0,0.0,3248.0,0.0
679.0,47896082.0,72759.0,0.0,600.0,0.0,17.0,187.0,64.0,554.0,201.0,58.0,35.0,36.0,1.0,287488.0,0.1359848063223508,35.0,36.0,86460.0,0.0,2981.3793103448274,
1.0,784468.0,213.0,0.0,141.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,2.0,2.0,1.0,12862.0,-14.395894884154874,2.0,15.0,0.0,0.0,0.0,
4.0,841591.0,182.0,0.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,2651.0,76.1686156167484,1.0,0.0,0.0,0.0,0.0,
101.0,24319101.0,69028.0,0.0,1293.0,0.0,0.0,27.0,31.0,181.0,48.0,206.0,13.0,13.0,1.0,187187.0,0.2387932922692281,13.0,28.0,14878.0,0.0,1653.111111111111,0.0
0.0,37782.0,44.0,0.0,26.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,11149.0,0.1673692707866176,3.0,7.0,756.0,0.0,756.0,0.0
602.0,263808810.0,33304.0,0.0,3447.0,0.0,4.0,252.0,140.0,696.0,268.0,368.0,115.0,116.0,1.0,630830.0,-13.05386395700902,115.0,37.0,11698.0,0.0,1949.6666666666667,0.0
316.0,8637271.0,4965.0,0.0,879.0,0.0,0.0,0.0,3.0,26.0,4.0,6.0,82.0,82.0,1.0,84170.0,0.0,82.0,23.0,0.0,0.0,0.0,
8.0,651124546.0,31496.0,0.0,30.0,0.0,0.0,0.0,9.0,21.0,8.0,961.0,17.0,16.0,1.0,608387.0,25.87390263105556,17.0,0.0,0.0,0.0,0.0,
2.0,13039541.0,359.0,0.0,83.0,0.0,0.0,0.0,5.0,13.0,4.0,1.0,6.0,6.0,1.0,7643.0,-846.9702996205679,6.0,0.0,327.0,0.0,327.0,
0.0,83766.0,377.0,0.0,63.0,0.0,0.0,0.0,1.0,7.0,1.0,12.0,1.0,1.0,1.0,12094.0,0.7274681660327436,1.0,8.0,0.0,0.0,0.0,0.0
26.0,71238803.0,1946.0,0.0,682.0,0.0,0.0,15.0,8.0,130.0,21.0,12.0,25.0,25.0,1.0,96641.0,16.83486304984427,25.0,48.0,20575.0,0.0,4115.0,
